id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,speechiness,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,72,2020,0.04,0.01,0.06
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020,0.03,0.89,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2010,0.08,0.02,0.18
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020,0.02,0.93,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,0.12,0.00,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2010,0.03,0.97,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,42,2010,0.04,0.68,0.31
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2020,0.05,0.78,0.07
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,51,2020,0.02,0.91,0.04
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,63,2020,0.06,0.03,0.12
11,Crown Heights Flow,The Fresh Cipher,hip-hop,energetic,0.78,95,0.73,0.91,0.08,74,2020,0.28,0.00,0.08
12,Velvet Slow,Satin Keys,r&b,romantic,0.52,88,0.68,0.76,0.31,61,2020,0.09,0.02,0.11
13,Morning Strings,Aria Collective,classical,peaceful,0.22,58,0.74,0.25,0.97,33,2000,0.03,0.99,0.24
14,Iron Circuit,Shatter Grid,metal,angry,0.97,168,0.22,0.45,0.04,55,2010,0.07,0.04,0.15
15,Porch Song,Blue Ridge Duo,folk,nostalgic,0.31,84,0.62,0.48,0.93,31,2010,0.05,0.44,0.42
16,Drop Zone,Voltage Drop,edm,euphoric,0.95,138,0.85,0.94,0.02,79,2020,0.04,0.61,0.06
17,Bayou Blues,Crescent Cane,blues,melancholic,0.44,76,0.33,0.52,0.72,27,2000,0.06,0.32,0.35
18,Island Breeze,Coral Current,reggae,relaxed,0.55,88,0.78,0.77,0.58,44,2010,0.08,0.18,0.22
